question,intent,edge_case,description
เดือนนี้ใช้ไปเท่าไร,SPENT_BUDGET,NORMAL,Current month spending - happy path
งบเหลือเท่าไร,SPENT_BUDGET,NORMAL,Budget remaining - happy path
เดือนที่แล้วใช้ไปเท่าไร,SPENT_BUDGET,NORMAL,Last month spending
สถานะเดือนนี้เป็นไง,SPENT_BUDGET,NORMAL,Check monthly budget status
ดู budget หน่อย,SPENT_BUDGET,NORMAL,View budget
งบหมดยัง,SPENT_BUDGET,NORMAL,Is budget exhausted
ยังไม่มีรายจ่ายเดือนนี้เลยนะ,SPENT_BUDGET,NO_DATA,No transactions this month
ยังไม่ได้ตั้งงบเดือนนี้นะ,SPENT_BUDGET,NO_BUDGET,No budget set
เดือนนี้ใช้ไป 52000 จาก 50000 เกินไป 2000,SPENT_BUDGET,OVER_BUDGET,Over budget
สถานะเดือนมิถุนายน 2027,SPENT_BUDGET,FUTURE_MONTH,Future month query
สัปดาห์นี้ใช้ไปเท่าไร,WEEKLY_SUMMARY,NORMAL,Current week spending - happy path
อาทิตย์นี้เป็นไง,WEEKLY_SUMMARY,NORMAL,This week summary
สัปดาห์ที่แล้วเท่าไร,WEEKLY_SUMMARY,NORMAL,Last week spending
สัปดาห์ก่อนเป็นยังไง,WEEKLY_SUMMARY,NORMAL,Previous week summary
เปรียบเทียบสัปดาห์นี้กับอาทิตย์ที่แล้ว,WEEKLY_SUMMARY,NORMAL,Week over week comparison
รายสัปดาห์ย้อนหลัง 2 อาทิตย์,WEEKLY_SUMMARY,NORMAL,2 weeks ago summary
สัปดาห์นี้ยังไม่มีรายจ่ายเลยนะ,WEEKLY_SUMMARY,NO_DATA_CURRENT,No transactions this week
ยังไม่มีข้อมูลสัปดาห์เลยนะ,WEEKLY_SUMMARY,NO_DATA_BOTH,No transactions either week
สัปดาห์นี้ใช้ไป 12500 เยอะกว่าอาทิตย์ที่แล้ว 3500,WEEKLY_SUMMARY,WEEK_OVER_WEEK_UP_50,Week-over-week up >50%
หนี้เหลือเท่าไร,DEBT_BALANCE,NORMAL,Total debt remaining - happy path
ค่างวดเดือนนี้เท่าไร,DEBT_BALANCE,NORMAL,This month's debt payment
ผ่อนรถเหลือเท่าไร,DEBT_BALANCE,NORMAL,Car loan remaining
ดูสถานะหนี้หน่อย,DEBT_BALANCE,NORMAL,View debt status
ยังต้องจ่ายอีกกี่เดือน,DEBT_BALANCE,NORMAL,How many months remaining
outstanding บัตรเครดิต,DEBT_BALANCE,NORMAL,Credit card outstanding
ไม่มีหนี้ active เลยนะ,DEBT_BALANCE,NO_DEBT,No active debts
บัตรเครดิตใช้ไป 65000 จาก 100000 limit,DEBT_BALANCE,CC_ONLY,Credit card only no obligations
หนี้ก้อนนี้ปิดแล้ว ดีมาก,DEBT_BALANCE,DEBT_PAID_OFF,Debt fully paid
มีงวดที่ค้างอยู่ 5000 บาทนะ,DEBT_BALANCE,PAST_DUE,Past due amount
goal ผมเป็นไงบ้าง,GOAL_PROGRESS,NORMAL,All goals progress - happy path
ออมไปเท่าไรแล้ว,GOAL_PROGRESS,NORMAL,How much saved
ถึงเป้าไหมแล้ว,GOAL_PROGRESS,NORMAL,Goal achieved
เงินก้อนสะสมเท่าไร,GOAL_PROGRESS,NORMAL,Total saved amount
เหลืออีกเท่าไรถึงเป้า,GOAL_PROGRESS,NORMAL,Amount remaining to goal
ดู goal หน่อย,GOAL_PROGRESS,NORMAL,View goals
ยังไม่มี goal สักอันเลยนะ,GOAL_PROGRESS,NO_GOALS,No goals
goal เงินดาวน์รถถึงเป้าแล้ว ดีมากเลย,GOAL_PROGRESS,GOAL_ACHIEVED,Goal achieved
goal นี้อยู่ที่ 68% แล้วแต่ยังไม่ได้ตั้ง target date,GOAL_PROGRESS,NO_TARGET_DATE,Goal without target date
goal เลยกำหนดไปแล้ว 12 วันนะ,GOAL_PROGRESS,GOAL_OVERDUE,Goal overdue
เงินเดือนวันที่เท่าไร,PAYDAY,NORMAL,Payday date - happy path
ถึงวันจ่ายอีกกี่วัน,PAYDAY,NORMAL,Days until payday
วันเงินเดือน,PAYDAY,NORMAL,Payday
payday วันไหน,PAYDAY,NORMAL,When is payday
เงินเดือนจะเข้าเมื่อไร,PAYDAY,NORMAL,When will salary arrive
ยังไม่เห็น pattern เงินเดือนเลยนะ,PAYDAY,NO_INCOME_DATA,No income data
เงินเดือนเข้าพรุ่งนี้แล้ว,PAYDAY,PAYDAY_TOMORROW,Payday tomorrow
เงินเดือนเข้าวันนี้เลย,PAYDAY,PAYDAY_TODAY,Payday today
มีรายได้หลายทาง เงินเดือนเข้าวันที่ 5 และ extra income วันที่ 20,PAYDAY,MULTIPLE_INCOME,Multiple income sources
ทำอะไรได้บ้าง,FALLBACK,GENERAL,What can you do
ช่วยแนะนำอะไรหน่อย,FALLBACK,GENERAL,Give recommendations
ช่วยหาร้านอาหารอร่อยๆ หน่อย,FALLBACK,OUT_OF_SCOPE,Out of scope request
สวัสดี วันนี้อากาศดีจัง,FALLBACK,OFF_TOPIC,Off topic
